author,reviewedPaper 
Jagpreet Singh,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Jagpreet Singh,Architectural support for convolutional neural networks on modern CPUs.
Maurice Hoerold,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Maurice Hoerold,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Maurice Hoerold,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Maurice Hoerold,3D system integration research at IMEC.
Maurice Hoerold,VW-SLP - auto-vectorization with adaptive vector width.
Torsten Hoefler,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Torsten Hoefler,3D Objects Exploration - Guidelines for Future Research.
Torsten Hoefler,3D Mesh Unfolding via Semidefinite Programming.
Torsten Hoefler,Recognition of Geometric Patterns Over 3D Models.
Torsten Hoefler,Range Scans based 3D Shape Retrieval.
Younghyun Cho,Revealing parallel scans and reductions in recurrences through function reconstruction.
Younghyun Cho,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Camilo A. Celis Guzman,Stencil codes on a vector length agnostic architecture.
Camilo A. Celis Guzman,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Camilo A. Celis Guzman,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Bernhard Egger,Stencil codes on a vector length agnostic architecture.
Bernhard Egger,Directed Curvature Histograms for Robotic Grasping.
Bernhard Egger,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Younghyun Cho,Range Scans based 3D Shape Retrieval.
Younghyun Cho,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Younghyun Cho,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Younghyun Cho,Shadow Detection on 3D Point Cloud.
Florian Negele,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Seohong Park,Maximizing system utilization via parallelism management for co-located parallel applications.
Bernhard Egger,3D Objects Exploration - Guidelines for Future Research.
Bernhard Egger,Energy-Efficient Wireless Sensing for Level Set Estimations.
Bernhard Egger,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Thomas R. Gross,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Thomas R. Gross,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Thomas R. Gross,Energy-Efficient Wireless Sensing for Level Set Estimations.
Thomas R. Gross,"A portable, automatic data qantizer for deep neural networks."
Thomas R. Gross,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Jiho Choi,RGB-D to CAD Retrieval with ObjectNN Dataset.
Jiho Choi,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Jiho Choi,Human detection from still depth images.
Thomas Shull,Transactional pre-abort handlers in hardware transactional memory.
Josep Torrellas,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Josep Torrellas,3D Mesh Unfolding via Semidefinite Programming.
Bang Di,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Jianhua Sun,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Jianhua Sun,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Jianhua Sun,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Jianhua Sun,Point Cloud Compression using Depth Maps.
Dong Li,Shape Retrieval of Non-Rigid 3D Human Models.
Dong Li,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Dong Li,The Canonically Posed 3D Objects Dataset.
Dong Li,3D Sketch-Based 3D Shape Retrieval.
Hao Chen,Towards Recognizing of 3D Models Using A Single Image.
Hao Chen,VW-SLP - auto-vectorization with adaptive vector width.
Hao Chen,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Hao Chen,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Hao Chen,Recognition of Geometric Patterns Over 3D Models.
Zhe Quan,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Zhe Quan,Automatic annotation of tasks in structured code.
Zhe Quan,Shape Retrieval and 3D Gestural Interaction.
Zhe Quan,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Zhe Quan,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Wanling Gao,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Wanling Gao,3D Sketch-Based 3D Shape Retrieval.
Jianfeng Zhan,3D Object Retrieval with Multimodal Views.
Jianfeng Zhan,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Jianfeng Zhan,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Jianfeng Zhan,Markerless Motion Capture with Multi-view Structured Light.
Jianfeng Zhan,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Lei Wang,Engineering commitment-based business protocols with the 2CL methodology.
Lei Wang,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Lei Wang,Cost-driven thread coarsening for GPU kernels.
Lei Wang,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Lei Wang,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Chunjie Luo,Secure High Capacity Data Hiding for 3d Meshes.
Chunjie Luo,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Chunjie Luo,Synergistic cache layout for reuse and compression.
Chunjie Luo,3D Mesh Unfolding via Semidefinite Programming.
Chunjie Luo,Blue noise Sampling of surfaces from stereoscopic images.
Daoyi Zheng,High productivity thermal compression bonding for 3D-IC.
Daoyi Zheng,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Daoyi Zheng,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Daoyi Zheng,Data motifs - a lens towards fully understanding big data and AI workloads.
Daoyi Zheng,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Fei Tang,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Fei Tang,3D integration - Applications and market trends.
Fei Tang,Large Scale Comprehensive 3D Shape Retrieval.
Biwei Xie,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Biwei Xie,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Chen Zheng,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Chen Zheng,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Chen Zheng,Semantic Correspondence Across 3D Models for Example-based Modeling.
Chen Zheng,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Xu Wen,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Xu Wen,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Xu Wen,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Xiwen He,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Xiwen He,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Hainan Ye,Engineering commitment-based business protocols with the 2CL methodology.
Hainan Ye,Protein Shape Retrieval.
Hainan Ye,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Hainan Ye,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Hainan Ye,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Rui Ren,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Rui Ren,Towards an Observer-oriented Theory of Shape Comparison.
Rui Ren,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Rui Ren,The Canonically Posed 3D Objects Dataset.
Rui Ren,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Wim Heirman,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Wim Heirman,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Wim Heirman,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Kristof Du Bois,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Yves Vandriessche,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Yves Vandriessche,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Yves Vandriessche,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Yves Vandriessche,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Stijn Eyerman,An Experimental Shape Matching Approach for Protein Docking.
Stijn Eyerman,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Stijn Eyerman,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Stijn Eyerman,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Ibrahim Hur,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Ibrahim Hur,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Ibrahim Hur,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Jeongkyu Hong,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Jeongkyu Hong,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Jeongkyu Hong,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Hyeonggyu Kim,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Hyeonggyu Kim,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Soontae Kim,Cost-driven thread coarsening for GPU kernels.
Soontae Kim,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Soontae Kim,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Soontae Kim,An Edit Distance for Reeb Graphs.
Soontae Kim,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Animesh Jain,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Michael A. Laurenzano,Temporal Ensemble of Shape Functions.
Michael A. Laurenzano,3D shape template generation from RGB-D images capturing a moving and deforming object.
Gilles A. Pokam,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Gilles A. Pokam,"A portable, automatic data qantizer for deep neural networks."
Jason Mars,3D Volume Matching for Mesh Animation of Moving Actors.
Jason Mars,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Jason Mars,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Jason Mars,RGB-D Object-to-CAD Retrieval.
Jason Mars,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Lingjia Tang,RGB-D Object-to-CAD Retrieval.
Lingjia Tang,Matching of Deformable Shapes with Topological Noise.
Lingjia Tang,Secure High Capacity Data Hiding for 3d Meshes.
Lingjia Tang,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Lingjia Tang,Performing Image-like Convolution on Triangular Meshes.
Peng Jiang,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Peng Jiang,Recognition of Geometric Patterns Over 3D Models.
Peng Jiang,Cost-driven thread coarsening for GPU kernels.
Linchuan Chen,Bag of Compact HKS-based Feature Descriptors.
Linchuan Chen,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Gagan Agrawal,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Gagan Agrawal,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Gagan Agrawal,Maximizing system utilization via parallelism management for co-located parallel applications.
Gagan Agrawal,Cost effective speculation with the omnipredictor.
Vladimir Kiriansky,Computing in 3D.
Haoran Xu,An Experimental Shape Matching Approach for Protein Docking.
Martin Rinard,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Saman P. Amarasinghe,3D Object Retrieval with Multimodal Views.
Michael LeBeane,Towards Recognizing of 3D Models Using A Single Image.
Michael LeBeane,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Michael LeBeane,Performing Image-like Convolution on Triangular Meshes.
Michael LeBeane,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Michael LeBeane,RGB-D Object-to-CAD Retrieval.
Khaled Hamidouche,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Khaled Hamidouche,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Khaled Hamidouche,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Khaled Hamidouche,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Khaled Hamidouche,An Experimental Shape Matching Approach for Protein Docking.
Brad Benton,Recognition of Geometric Patterns Over 3D Models.
Mauricio Breternitz,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Mauricio Breternitz,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Mauricio Breternitz,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Mauricio Breternitz,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Steven K. Reinhardt,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Steven K. Reinhardt,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Steven K. Reinhardt,Architectural support for convolutional neural networks on modern CPUs.
Steven K. Reinhardt,2D Scene Sketch-Based 3D Scene Retrieval.
Steven K. Reinhardt,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Lizy K. John,Non-uniform resampling in perspective compensated large scale 3D visualization.
Lizy K. John,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Lizy K. John,Human detection from still depth images.
Lizy K. John,Automatic annotation of tasks in structured code.
Lizy K. John,3D Sketch-Based 3D Shape Retrieval.
Sukhan Lee,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Sukhan Lee,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Sukhan Lee,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Sukhan Lee,Engineering commitment-based business protocols with the 2CL methodology.
Kiwon Lee,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Kiwon Lee,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Min Chul Sung,Shape Retrieval of Low-Cost RGB-D Captures.
Min Chul Sung,Partial Matching of Deformable Shapes.
Min Chul Sung,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Mohammad Alian,Protein Shape Retrieval.
Mohammad Alian,Matching of Deformable Shapes with Topological Noise.
Chankyung Kim,Retrieval of Surfaces with Similar Relief Patterns.
Wooyeong Cho,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Wooyeong Cho,3D Object Retrieval with Multimodal Views.
Reum Oh,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Reum Oh,Retrieval of Human Subjects from Depth Sensor Data.
Seongil O,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Seongil O,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Seongil O,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Jung Ho Ahn,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Jung Ho Ahn,Semantic Correspondence Across 3D Models for Example-based Modeling.
Jung Ho Ahn,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Jung Ho Ahn,Performing Image-like Convolution on Triangular Meshes.
Nam Sung Kim,Engineering commitment-based business protocols with the 2CL methodology.
Sanchit Misra,Shape Retrieval and 3D Gestural Interaction.
Sanchit Misra,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Sanchit Misra,Biased reference counting - minimizing atomic operations in garbage collection.
Tony C. Pan,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Tony C. Pan,Bag of Compact HKS-based Feature Descriptors.
Tony C. Pan,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Tony C. Pan,Maximizing system utilization via parallelism management for co-located parallel applications.
Kanak Mahadik,Large Scale Comprehensive 3D Shape Retrieval.
George Powley,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
George Powley,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Priya N. Vaidya,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Priya N. Vaidya,Towards Recognizing of 3D Models Using A Single Image.
Priya N. Vaidya,Protein Shape Retrieval.
Priya N. Vaidya,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Priya N. Vaidya,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Md. Vasimuddin,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Md. Vasimuddin,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Md. Vasimuddin,Energy-Efficient Big Data Analytics in Datacenters.
Md. Vasimuddin,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Srinivas Aluru,3D Volume Matching for Mesh Animation of Moving Actors.
Srinivas Aluru,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Srinivas Aluru,3D shape template generation from RGB-D images capturing a moving and deforming object.
Srinivas Aluru,Biased reference counting - minimizing atomic operations in garbage collection.
Srinivas Aluru,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Tony Nowatzki,Biased reference counting - minimizing atomic operations in garbage collection.
Tony Nowatzki,3D integration - Applications and market trends.
Newsha Ardalani,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Newsha Ardalani,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Newsha Ardalani,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Newsha Ardalani,An Experimental Shape Matching Approach for Protein Docking.
Karthikeyan Sankaralingam,Point Cloud Compression using Depth Maps.
Karthikeyan Sankaralingam,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Karthikeyan Sankaralingam,Cost-driven thread coarsening for GPU kernels.
Karthikeyan Sankaralingam,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Jian Weng,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Young H. Oh,Recognition of Geometric Patterns Over 3D Models.
Young H. Oh,Shape Retrieval of Low-Cost RGB-D Captures.
Quan Quan,Retrieval of Gray Patterns Depicted on 3D Models.
Daeyeon Kim,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Daeyeon Kim,Partial Matching of Deformable Shapes.
Daeyeon Kim,Graphphi - efficient parallel graph processing on emerging throughput-oriented architectures.
Daeyeon Kim,Towards Recognizing of 3D Models Using A Single Image.
Daeyeon Kim,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Seonghak Kim,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Seonghak Kim,Deformable Shape Retrieval with Missing Parts.
Seonghak Kim,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Seonghak Kim,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Jun Heo,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Jun Heo,Non-rigid 3D Shape Retrieval.
Jun Heo,Markerless Motion Capture with Multi-view Structured Light.
Jun Heo,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Sungjun Jung,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Jaeyoung Jang,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Jaeyoung Jang,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Jaeyoung Jang,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Jae W. Lee,Transactional pre-abort handlers in hardware transactional memory.
Jae W. Lee,3D shape template generation from RGB-D images capturing a moving and deforming object.
Jae W. Lee,Retrieval of Human Subjects from Depth Sensor Data.
Jae W. Lee,RGB-D to CAD Retrieval with ObjectNN Dataset.
Jae W. Lee,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Biswabandan Panda,Protein Shape Retrieval.
Biswabandan Panda,Energy-Efficient Wireless Sensing for Level Set Estimations.
Biswabandan Panda,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Biswabandan Panda,3D Object Retrieval with Multimodal Views.
Biswabandan Panda,Temporal Ensemble of Shape Functions.
André Seznec,3D integration - Applications and market trends.
André Seznec,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Sunjae Park,Protein Shape Retrieval.
Sunjae Park,Matching of Deformable Shapes with Topological Noise.
Sunjae Park,GMOD - a dynamic GPU memory overflow detector.
Sunjae Park,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Christopher J. Hughes,The Canonically Posed 3D Objects Dataset.
Christopher J. Hughes,An Evaluation of Local Feature Encodings for Shape Retrieval.
Christopher J. Hughes,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Christopher J. Hughes,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Christopher J. Hughes,Protein Shape Retrieval.
Milos Prvulovic,Engineering commitment-based business protocols with the 2CL methodology.
Milos Prvulovic,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Jinsu Park,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Jinsu Park,High productivity thermal compression bonding for 3D-IC.
Jinsu Park,Secure High Capacity Data Hiding for 3d Meshes.
Seongbeom Park,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Seongbeom Park,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Seongbeom Park,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Myeonggyun Han,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Myeonggyun Han,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Jihoon Hyun,"A portable, automatic data qantizer for deep neural networks."
Jihoon Hyun,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Woongki Baek,Directed Curvature Histograms for Robotic Grasping.
Zhen Peng,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Zhen Peng,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Zhen Peng,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Zhen Peng,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Alexander Powell,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Bo Wu,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Tekin Bicer,3D Object Retrieval with Parametric Templates.
Tekin Bicer,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Tekin Bicer,Deformable Shape Retrieval with Missing Parts.
Tekin Bicer,GMOD - a dynamic GPU memory overflow detector.
Tekin Bicer,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Bin Ren,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Bin Ren,Towards Recognizing of 3D Models Using A Single Image.
Bin Ren,3D system integration research at IMEC.
Arthur Perais,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
André Seznec,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
André Seznec,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
André Seznec,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
André Seznec,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Vasileios Porpodas,RGB-D to CAD Retrieval with ObjectNN Dataset.
Vasileios Porpodas,Towards an Observer-oriented Theory of Shape Comparison.
Vasileios Porpodas,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Vasileios Porpodas,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Rodrigo C. O. Rocha,Shape Retrieval and 3D Gestural Interaction.
Rodrigo C. O. Rocha,Graphphi - efficient parallel graph processing on emerging throughput-oriented architectures.
Rodrigo C. O. Rocha,Revealing parallel scans and reductions in recurrences through function reconstruction.
Rodrigo C. O. Rocha,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Rodrigo C. O. Rocha,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Luís F. W. Góes,VW-SLP - auto-vectorization with adaptive vector width.
Prakash Prabhu,Cost effective speculation with the omnipredictor.
Prakash Prabhu,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Prakash Prabhu,Automatic annotation of tasks in structured code.
Prakash Prabhu,Non-uniform resampling in perspective compensated large scale 3D visualization.
Prakash Prabhu,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Stephen R. Beard,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Stephen R. Beard,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Stephen R. Beard,Performing Image-like Convolution on Triangular Meshes.
Stephen R. Beard,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Stephen R. Beard,The Canonically Posed 3D Objects Dataset.
Sotiris Apostolakis,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Sotiris Apostolakis,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Sotiris Apostolakis,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Sotiris Apostolakis,Synergistic cache layout for reuse and compression.
Ayal Zaks,Bag of Compact HKS-based Feature Descriptors.
Ayal Zaks,Scalability of Non-Rigid 3D Shape Retrieval.
Ayal Zaks,Partial Shape Queries for 3D Object Retrieval.
Ayal Zaks,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
David I. August,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
David I. August,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
David I. August,EAR - ECC-aided refresh reduction through 2-D zero compression.
Sooraj Puthoor,The Canonically Posed 3D Objects Dataset.
Sooraj Puthoor,Shape Retrieval of Non-Rigid 3D Human Models.
Sooraj Puthoor,2D Scene Sketch-Based 3D Scene Retrieval.
Mikko H. Lipasti,Shape Retrieval of Low-Cost RGB-D Captures.
Pedro Ramos,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Pedro Ramos,Maximizing system utilization via parallelism management for co-located parallel applications.
Gleison Souza Diniz Mendonca,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Divino Soares,2D Image-Based 3D Scene Retrieval.
Divino Soares,Non-uniform resampling in perspective compensated large scale 3D visualization.
Guido Araújo,GMOD - a dynamic GPU memory overflow detector.
